Encrypt Time (ms),Inbuf Time (ms),Ratio
0.02,0.068,3.4000000000000004
0.016,0.051,3.1874999999999996
0.003,0.026,8.666666666666666
0.021,0.073,3.476190476190476
0.071,0.301,4.23943661971831
0.015,0.062,4.133333333333334
0.004,0.018,4.5
0.002,0.011,5.5
0.016,0.054,3.375
0.017,0.059,3.4705882352941173
0.019,0.062,3.263157894736842
0.002,0.013,6.5
0.005,0.022,4.3999999999999995
0.002,0.013,6.5
0.002,0.01,5.0
0.017,0.051,2.9999999999999996
0.002,0.01,5.0
0.016,0.059,3.6874999999999996
0.002,0.01,5.0
0.02,0.06,3.0
0.012,0.04,3.3333333333333335
0.026,0.089,3.423076923076923
0.021,0.059,2.8095238095238093
0.011,0.08,7.272727272727273
0.017,0.055,3.2352941176470584
0.016,0.062,3.875
0.026,0.109,4.1923076923076925
0.003,0.018,5.999999999999999
0.009,0.049,5.444444444444445
0.003,0.024,8.0
0.003,0.015,5.0
0.019,0.074,3.8947368421052633
0.004,0.028,7.0
0.017,0.055,3.2352941176470584
0.002,0.009,4.5
0.015,0.051,3.4
0.021,0.067,3.1904761904761907
0.028,0.053,1.8928571428571428
0.003,0.015,5.0
0.014,0.048,3.4285714285714284
0.013,0.12,9.230769230769232
0.009,0.043,4.777777777777778
0.023,0.066,2.8695652173913047
0.034,0.087,2.5588235294117645
0.005,0.027,5.3999999999999995
0.004,0.019,4.75
0.002,0.017,8.5
0.003,0.018,5.999999999999999
0.007,0.035,5.0
0.003,0.02,6.666666666666667
0.016,0.049,3.0625
0.002,0.011,5.5
0.02,0.077,3.85
0.02,0.073,3.65
0.042,0.07,1.6666666666666667
0.016,0.049,3.0625
0.016,0.055,3.4375
0.015,0.071,4.733333333333333
0.018,0.06,3.3333333333333335
0.002,0.009,4.5
0.005,0.019,3.8
0.003,0.018,5.999999999999999
0.002,0.007,3.5
0.009,0.049,5.444444444444445
0.003,0.02,6.666666666666667
0.02,0.062,3.1
0.024,0.08,3.3333333333333335
0.002,0.011,5.5
0.019,0.073,3.8421052631578947
0.018,0.071,3.944444444444444
0.019,0.075,3.9473684210526314
0.019,0.072,3.789473684210526
0.018,0.068,3.777777777777778
0.005,0.024,4.8
0.006,0.048,8.0
0.002,0.011,5.5
0.004,0.023,5.75
0.019,0.068,3.578947368421053
0.003,0.016,5.333333333333333
0.017,0.066,3.8823529411764706
0.004,0.022,5.5
0.004,0.016,4.0
0.004,0.014,3.5
0.003,0.015,5.0
0.006,0.032,5.333333333333333
0.004,0.015,3.75
0.017,0.061,3.5882352941176467
0.002,0.01,5.0
0.022,0.092,4.181818181818182
0.019,0.066,3.473684210526316
0.02,0.074,3.6999999999999997
0.019,0.1,5.2631578947368425
0.023,0.041,1.782608695652174
0.014,0.065,4.642857142857143
0.005,0.029,5.8
0.018,0.075,4.166666666666667
0.014,0.08,5.714285714285714
0.004,0.018,4.5
0.002,0.011,5.5
0.004,0.021,5.25
0.003,0.016,5.333333333333333
0.003,0.015,5.0
0.01,0.056,5.6
0.005,0.019,3.8
0.016,0.053,3.3125
0.002,0.01,5.0
0.018,0.057,3.166666666666667
0.012,0.028,2.3333333333333335
0.018,0.075,4.166666666666667
0.022,0.065,2.954545454545455
0.014,0.048,3.4285714285714284
0.018,0.083,4.611111111111112
0.005,0.022,4.3999999999999995
0.03,0.257,8.566666666666666
0.007,0.029,4.142857142857143
0.009,0.053,5.888888888888889
0.009,0.071,7.888888888888888
0.007,0.039,5.571428571428571
0.006,0.034,5.666666666666667
0.004,0.031,7.75
0.003,0.02,6.666666666666667
0.017,0.055,3.2352941176470584
0.002,0.01,5.0
0.015,0.047,3.1333333333333333
0.022,0.062,2.8181818181818183
0.019,0.068,3.578947368421053
0.004,0.02,5.0
0.014,0.072,5.142857142857142
0.084,0.08,0.9523809523809523
0.031,0.128,4.129032258064516
0.008,0.046,5.75
0.004,0.02,5.0
0.008,0.041,5.125
0.007,0.035,5.0
0.005,0.022,4.3999999999999995
0.007,0.036,5.142857142857142
0.002,0.011,5.5
0.016,0.054,3.375
0.016,0.056,3.5
0.003,0.027,9.0
0.016,0.066,4.125
0.02,0.077,3.85
0.005,0.023,4.6
0.007,0.034,4.857142857142858
0.021,0.059,2.8095238095238093
0.004,0.039,9.75
0.017,0.064,3.764705882352941
